// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\baa6d8e3-a597-4939-a589-4dbb64e069f3
// command took 1.95s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\baa6d8e3-a597-4939-a589-4dbb64e069f3
// command took 2.85s and exited with 0
// ***** Done, took 00:00:04 (4.97 sec)   *****
// Found 3 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: Job-KPEBPU(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructContains: Job-KPEBPU(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructEqContains: Job-KPEBPU(IterationCount=5)

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: Job-KPEBPU(IterationCount=5)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "baa6d8e3-a597-4939-a589-4dbb64e069f3.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "IterationCount=5" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\baa6d8e3-a597-4939-a589-4dbb64e069f3\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-BCCNEL(IterationCount=5)

OverheadJitting  1: 1 op, 280000.00 ns, 280.0000 us/op
WorkloadJitting  1: 1 op, 2065700.00 ns, 2.0657 ms/op

OverheadJitting  2: 16 op, 322400.00 ns, 20.1500 us/op
WorkloadJitting  2: 16 op, 4742600.00 ns, 296.4125 us/op

WorkloadPilot    1: 16 op, 4409800.00 ns, 275.6125 us/op
WorkloadPilot    2: 32 op, 8327500.00 ns, 260.2344 us/op
WorkloadPilot    3: 64 op, 16885100.00 ns, 263.8297 us/op
WorkloadPilot    4: 128 op, 35634100.00 ns, 278.3914 us/op
WorkloadPilot    5: 256 op, 61145300.00 ns, 238.8488 us/op
WorkloadPilot    6: 512 op, 53772900.00 ns, 105.0252 us/op
WorkloadPilot    7: 1024 op, 100220800.00 ns, 97.8719 us/op
WorkloadPilot    8: 2048 op, 218923900.00 ns, 106.8964 us/op
WorkloadPilot    9: 4096 op, 400615000.00 ns, 97.8064 us/op
WorkloadPilot   10: 8192 op, 849027000.00 ns, 103.6410 us/op

OverheadWarmup   1: 8192 op, 17800.00 ns, 2.1729 ns/op
OverheadWarmup   2: 8192 op, 14800.00 ns, 1.8066 ns/op
OverheadWarmup   3: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadWarmup   4: 8192 op, 23000.00 ns, 2.8076 ns/op
OverheadWarmup   5: 8192 op, 29800.00 ns, 3.6377 ns/op
OverheadWarmup   6: 8192 op, 65300.00 ns, 7.9712 ns/op
OverheadWarmup   7: 8192 op, 15100.00 ns, 1.8433 ns/op
OverheadWarmup   8: 8192 op, 29600.00 ns, 3.6133 ns/op
OverheadWarmup   9: 8192 op, 15300.00 ns, 1.8677 ns/op

OverheadActual   1: 8192 op, 15200.00 ns, 1.8555 ns/op
OverheadActual   2: 8192 op, 14800.00 ns, 1.8066 ns/op
OverheadActual   3: 8192 op, 14600.00 ns, 1.7822 ns/op
OverheadActual   4: 8192 op, 15100.00 ns, 1.8433 ns/op
OverheadActual   5: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual   6: 8192 op, 26100.00 ns, 3.1860 ns/op
OverheadActual   7: 8192 op, 32200.00 ns, 3.9307 ns/op
OverheadActual   8: 8192 op, 34600.00 ns, 4.2236 ns/op
OverheadActual   9: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual  10: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  11: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual  12: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  13: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  14: 8192 op, 15100.00 ns, 1.8433 ns/op
OverheadActual  15: 8192 op, 33200.00 ns, 4.0527 ns/op
OverheadActual  16: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  17: 8192 op, 15600.00 ns, 1.9043 ns/op

