// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\939eaeb0-1003-4e42-bc95-ca7cf2fd3cf1
// command took 2.01s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\939eaeb0-1003-4e42-bc95-ca7cf2fd3cf1
// command took 2.77s and exited with 0
// ***** Done, took 00:00:04 (4.9 sec)   *****
// Found 3 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: Job-ZKJYOC(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructContains: Job-ZKJYOC(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructEqContains: Job-ZKJYOC(IterationCount=5)

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: Job-ZKJYOC(IterationCount=5)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "939eaeb0-1003-4e42-bc95-ca7cf2fd3cf1.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "IterationCount=5" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\939eaeb0-1003-4e42-bc95-ca7cf2fd3cf1\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SABCQM(IterationCount=5)

OverheadJitting  1: 1 op, 383400.00 ns, 383.4000 us/op
WorkloadJitting  1: 1 op, 1699100.00 ns, 1.6991 ms/op

OverheadJitting  2: 16 op, 218900.00 ns, 13.6813 us/op
WorkloadJitting  2: 16 op, 4642000.00 ns, 290.1250 us/op

WorkloadPilot    1: 16 op, 3814800.00 ns, 238.4250 us/op
WorkloadPilot    2: 32 op, 8524200.00 ns, 266.3813 us/op
WorkloadPilot    3: 64 op, 16185300.00 ns, 252.8953 us/op
WorkloadPilot    4: 128 op, 31669500.00 ns, 247.4180 us/op
WorkloadPilot    5: 256 op, 61265400.00 ns, 239.3180 us/op
WorkloadPilot    6: 512 op, 81294900.00 ns, 158.7791 us/op
WorkloadPilot    7: 1024 op, 107367100.00 ns, 104.8507 us/op
WorkloadPilot    8: 2048 op, 215485300.00 ns, 105.2174 us/op
WorkloadPilot    9: 4096 op, 410311600.00 ns, 100.1737 us/op
WorkloadPilot   10: 8192 op, 826490600.00 ns, 100.8900 us/op

OverheadWarmup   1: 8192 op, 17800.00 ns, 2.1729 ns/op
OverheadWarmup   2: 8192 op, 13800.00 ns, 1.6846 ns/op
OverheadWarmup   3: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadWarmup   4: 8192 op, 28700.00 ns, 3.5034 ns/op
OverheadWarmup   5: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadWarmup   6: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadWarmup   7: 8192 op, 40900.00 ns, 4.9927 ns/op
OverheadWarmup   8: 8192 op, 15100.00 ns, 1.8433 ns/op

OverheadActual   1: 8192 op, 14800.00 ns, 1.8066 ns/op
OverheadActual   2: 8192 op, 14700.00 ns, 1.7944 ns/op
OverheadActual   3: 8192 op, 14600.00 ns, 1.7822 ns/op
OverheadActual   4: 8192 op, 32700.00 ns, 3.9917 ns/op
OverheadActual   5: 8192 op, 14700.00 ns, 1.7944 ns/op
OverheadActual   6: 8192 op, 14500.00 ns, 1.7700 ns/op
OverheadActual   7: 8192 op, 34300.00 ns, 4.1870 ns/op
OverheadActual   8: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual   9: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadActual  10: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  11: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  12: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  13: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual  14: 8192 op, 14800.00 ns, 1.8066 ns/op
OverheadActual  15: 8192 op, 14800.00 ns, 1.8066 ns/op

