// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\7d74d966-2ae3-4203-832e-1fbc9feab79c
// command took 2.76s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\7d74d966-2ae3-4203-832e-1fbc9feab79c
// command took 3.91s and exited with 0
// ***** Done, took 00:00:06 (6.85 sec)   *****
// Found 5 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: Job-MMZRCI(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructContains: Job-MMZRCI(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructEqContains: Job-MMZRCI(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsTuple: Job-MMZRCI(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsStructEq: Job-MMZRCI(IterationCount=5)

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: Job-MMZRCI(IterationCount=5)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7d74d966-2ae3-4203-832e-1fbc9feab79c.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "IterationCount=5" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\7d74d966-2ae3-4203-832e-1fbc9feab79c\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-QBULAL(IterationCount=5)

OverheadJitting  1: 1 op, 366300.00 ns, 366.3000 us/op
WorkloadJitting  1: 1 op, 2029800.00 ns, 2.0298 ms/op

OverheadJitting  2: 16 op, 323200.00 ns, 20.2000 us/op
WorkloadJitting  2: 16 op, 5124200.00 ns, 320.2625 us/op

WorkloadPilot    1: 16 op, 4628000.00 ns, 289.2500 us/op
WorkloadPilot    2: 32 op, 9814800.00 ns, 306.7125 us/op
WorkloadPilot    3: 64 op, 17567600.00 ns, 274.4937 us/op
WorkloadPilot    4: 128 op, 34698000.00 ns, 271.0781 us/op
WorkloadPilot    5: 256 op, 73520100.00 ns, 287.1879 us/op
WorkloadPilot    6: 512 op, 86029600.00 ns, 168.0266 us/op
WorkloadPilot    7: 1024 op, 114549700.00 ns, 111.8649 us/op
WorkloadPilot    8: 2048 op, 225361200.00 ns, 110.0396 us/op
WorkloadPilot    9: 4096 op, 469190400.00 ns, 114.5484 us/op
WorkloadPilot   10: 8192 op, 895194700.00 ns, 109.2767 us/op

OverheadWarmup   1: 8192 op, 19900.00 ns, 2.4292 ns/op
OverheadWarmup   2: 8192 op, 15800.00 ns, 1.9287 ns/op
OverheadWarmup   3: 8192 op, 38200.00 ns, 4.6631 ns/op
OverheadWarmup   4: 8192 op, 30400.00 ns, 3.7109 ns/op
OverheadWarmup   5: 8192 op, 16300.00 ns, 1.9897 ns/op
OverheadWarmup   6: 8192 op, 15700.00 ns, 1.9165 ns/op
OverheadWarmup   7: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadWarmup   8: 8192 op, 16400.00 ns, 2.0020 ns/op
OverheadWarmup   9: 8192 op, 31600.00 ns, 3.8574 ns/op
OverheadWarmup  10: 8192 op, 21000.00 ns, 2.5635 ns/op

OverheadActual   1: 8192 op, 21600.00 ns, 2.6367 ns/op
OverheadActual   2: 8192 op, 15900.00 ns, 1.9409 ns/op
OverheadActual   3: 8192 op, 15600.00 ns, 1.9043 ns/op
