// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\e2a971b6-b45a-4da2-bb19-c5e565f74b56
// command took 3.19s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\e2a971b6-b45a-4da2-bb19-c5e565f74b56
// command took 4.24s and exited with 0
// ***** Done, took 00:00:07 (7.62 sec)   *****
// Found 4 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: Job-GAAMOV(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructContains: Job-GAAMOV(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsTuple: Job-GAAMOV(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsStruct: Job-GAAMOV(IterationCount=5)

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: Job-GAAMOV(IterationCount=5)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e2a971b6-b45a-4da2-bb19-c5e565f74b56.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "IterationCount=5" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\e2a971b6-b45a-4da2-bb19-c5e565f74b56\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-JANQZG(IterationCount=5)

OverheadJitting  1: 1 op, 329900.00 ns, 329.9000 us/op
WorkloadJitting  1: 1 op, 2499400.00 ns, 2.4994 ms/op

OverheadJitting  2: 16 op, 263300.00 ns, 16.4563 us/op
WorkloadJitting  2: 16 op, 4364300.00 ns, 272.7688 us/op

WorkloadPilot    1: 16 op, 4868500.00 ns, 304.2812 us/op
WorkloadPilot    2: 32 op, 8166600.00 ns, 255.2063 us/op
WorkloadPilot    3: 64 op, 17566700.00 ns, 274.4797 us/op
WorkloadPilot    4: 128 op, 35105800.00 ns, 274.2641 us/op
WorkloadPilot    5: 256 op, 70788700.00 ns, 276.5184 us/op
WorkloadPilot    6: 512 op, 139689400.00 ns, 272.8309 us/op
WorkloadPilot    7: 1024 op, 114407500.00 ns, 111.7261 us/op
WorkloadPilot    8: 2048 op, 252641000.00 ns, 123.3599 us/op
WorkloadPilot    9: 4096 op, 472619300.00 ns, 115.3856 us/op
WorkloadPilot   10: 8192 op, 882743200.00 ns, 107.7567 us/op

OverheadWarmup   1: 8192 op, 38300.00 ns, 4.6753 ns/op
OverheadWarmup   2: 8192 op, 35700.00 ns, 4.3579 ns/op
OverheadWarmup   3: 8192 op, 70600.00 ns, 8.6182 ns/op
OverheadWarmup   4: 8192 op, 29200.00 ns, 3.5645 ns/op
OverheadWarmup   5: 8192 op, 56700.00 ns, 6.9214 ns/op
OverheadWarmup   6: 8192 op, 25100.00 ns, 3.0640 ns/op

OverheadActual   1: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadActual   2: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadActual   3: 8192 op, 15500.00 ns, 1.8921 ns/op
OverheadActual   4: 8192 op, 15500.00 ns, 1.8921 ns/op
OverheadActual   5: 8192 op, 15500.00 ns, 1.8921 ns/op
OverheadActual   6: 8192 op, 21800.00 ns, 2.6611 ns/op
OverheadActual   7: 8192 op, 16300.00 ns, 1.9897 ns/op
OverheadActual   8: 8192 op, 16200.00 ns, 1.9775 ns/op
OverheadActual   9: 8192 op, 20900.00 ns, 2.5513 ns/op
OverheadActual  10: 8192 op, 16000.00 ns, 1.9531 ns/op
OverheadActual  11: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual  12: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual  13: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual  14: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual  15: 8192 op, 15900.00 ns, 1.9409 ns/op

WorkloadWarmup   1: 8192 op, 928655400.00 ns, 113.3613 us/op
WorkloadWarmup   2: 8192 op, 903771200.00 ns, 110.3236 us/op
WorkloadWarmup   3: 8192 op, 911153200.00 ns, 111.2248 us/op
WorkloadWarmup   4: 8192 op, 947805700.00 ns, 115.6989 us/op
WorkloadWarmup   5: 8192 op, 1020989000.00 ns, 124.6324 us/op
WorkloadWarmup   6: 8192 op, 1027706800.00 ns, 125.4525 us/op
WorkloadWarmup   7: 8192 op, 980783600.00 ns, 119.7246 us/op
