// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\608b929a-a011-468e-ac91-93fd15366c89
// command took 2.94s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\608b929a-a011-468e-ac91-93fd15366c89
// command took 4.04s and exited with 0
// ***** Done, took 00:00:07 (7.17 sec)   *****
// Found 4 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: Job-TRZCRT(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructContains: Job-TRZCRT(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsTuple: Job-TRZCRT(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsStruct: Job-TRZCRT(IterationCount=5)

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: Job-TRZCRT(IterationCount=5)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "608b929a-a011-468e-ac91-93fd15366c89.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "IterationCount=5" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\608b929a-a011-468e-ac91-93fd15366c89\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-PCAXLA(IterationCount=5)

OverheadJitting  1: 1 op, 412800.00 ns, 412.8000 us/op
WorkloadJitting  1: 1 op, 2383800.00 ns, 2.3838 ms/op

OverheadJitting  2: 16 op, 365400.00 ns, 22.8375 us/op
WorkloadJitting  2: 16 op, 4611600.00 ns, 288.2250 us/op

WorkloadPilot    1: 16 op, 7539900.00 ns, 471.2437 us/op
WorkloadPilot    2: 32 op, 12320900.00 ns, 385.0281 us/op
WorkloadPilot    3: 64 op, 21445800.00 ns, 335.0906 us/op
WorkloadPilot    4: 128 op, 36479200.00 ns, 284.9937 us/op
WorkloadPilot    5: 256 op, 74075700.00 ns, 289.3582 us/op
WorkloadPilot    6: 512 op, 138808800.00 ns, 271.1109 us/op
WorkloadPilot    7: 1024 op, 111473500.00 ns, 108.8608 us/op
WorkloadPilot    8: 2048 op, 217552700.00 ns, 106.2269 us/op
WorkloadPilot    9: 4096 op, 479133600.00 ns, 116.9760 us/op
WorkloadPilot   10: 8192 op, 902669100.00 ns, 110.1891 us/op

OverheadWarmup   1: 8192 op, 17700.00 ns, 2.1606 ns/op
OverheadWarmup   2: 8192 op, 14500.00 ns, 1.7700 ns/op
OverheadWarmup   3: 8192 op, 14400.00 ns, 1.7578 ns/op
OverheadWarmup   4: 8192 op, 14400.00 ns, 1.7578 ns/op
OverheadWarmup   5: 8192 op, 15000.00 ns, 1.8311 ns/op
OverheadWarmup   6: 8192 op, 14400.00 ns, 1.7578 ns/op
OverheadWarmup   7: 8192 op, 56100.00 ns, 6.8481 ns/op

OverheadActual   1: 8192 op, 32800.00 ns, 4.0039 ns/op
OverheadActual   2: 8192 op, 15100.00 ns, 1.8433 ns/op
OverheadActual   3: 8192 op, 15000.00 ns, 1.8311 ns/op
OverheadActual   4: 8192 op, 19200.00 ns, 2.3438 ns/op
OverheadActual   5: 8192 op, 14800.00 ns, 1.8066 ns/op
OverheadActual   6: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual   7: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadActual   8: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual   9: 8192 op, 15900.00 ns, 1.9409 ns/op
OverheadActual  10: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  11: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadActual  12: 8192 op, 84900.00 ns, 10.3638 ns/op
OverheadActual  13: 8192 op, 15500.00 ns, 1.8921 ns/op
OverheadActual  14: 8192 op, 15000.00 ns, 1.8311 ns/op
