// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\d5f100d6-8642-45f2-a83d-87f61fa79825
// command took 2.68s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\d5f100d6-8642-45f2-a83d-87f61fa79825
// command took 4.34s and exited with 0
// ***** Done, took 00:00:07 (7.21 sec)   *****
// Found 5 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: Job-RPPWZV(IterationCount=5)
//   ListOfTuplesContainsBenchmark.ListStructContains: Job-RPPWZV(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsTuple: Job-RPPWZV(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsStruct: Job-RPPWZV(IterationCount=5)
//   ListOfTuplesContainsBenchmark.MapContainsStructForEach: Job-RPPWZV(IterationCount=5)

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: Job-RPPWZV(IterationCount=5)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d5f100d6-8642-45f2-a83d-87f61fa79825.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "IterationCount=5" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\d5f100d6-8642-45f2-a83d-87f61fa79825\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-KPEKXK(IterationCount=5)

OverheadJitting  1: 1 op, 360000.00 ns, 360.0000 us/op
WorkloadJitting  1: 1 op, 2199500.00 ns, 2.1995 ms/op

OverheadJitting  2: 16 op, 339800.00 ns, 21.2375 us/op
WorkloadJitting  2: 16 op, 4453300.00 ns, 278.3313 us/op

WorkloadPilot    1: 16 op, 4537100.00 ns, 283.5688 us/op
WorkloadPilot    2: 32 op, 8048000.00 ns, 251.5000 us/op
WorkloadPilot    3: 64 op, 18402700.00 ns, 287.5422 us/op
WorkloadPilot    4: 128 op, 36198900.00 ns, 282.8039 us/op
WorkloadPilot    5: 256 op, 72713500.00 ns, 284.0371 us/op
WorkloadPilot    6: 512 op, 74311700.00 ns, 145.1400 us/op
WorkloadPilot    7: 1024 op, 112687500.00 ns, 110.0464 us/op
WorkloadPilot    8: 2048 op, 225487300.00 ns, 110.1012 us/op
WorkloadPilot    9: 4096 op, 488705500.00 ns, 119.3129 us/op
WorkloadPilot   10: 8192 op, 876942100.00 ns, 107.0486 us/op

OverheadWarmup   1: 8192 op, 18900.00 ns, 2.3071 ns/op
OverheadWarmup   2: 8192 op, 14400.00 ns, 1.7578 ns/op
OverheadWarmup   3: 8192 op, 14900.00 ns, 1.8188 ns/op
OverheadWarmup   4: 8192 op, 16000.00 ns, 1.9531 ns/op
OverheadWarmup   5: 8192 op, 47300.00 ns, 5.7739 ns/op
OverheadWarmup   6: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadWarmup   7: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadWarmup   8: 8192 op, 40200.00 ns, 4.9072 ns/op

OverheadActual   1: 8192 op, 15700.00 ns, 1.9165 ns/op
OverheadActual   2: 8192 op, 15500.00 ns, 1.8921 ns/op
OverheadActual   3: 8192 op, 15000.00 ns, 1.8311 ns/op
OverheadActual   4: 8192 op, 15000.00 ns, 1.8311 ns/op
OverheadActual   5: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual   6: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual   7: 8192 op, 55700.00 ns, 6.7993 ns/op
OverheadActual   8: 8192 op, 22200.00 ns, 2.7100 ns/op
OverheadActual   9: 8192 op, 15500.00 ns, 1.8921 ns/op
OverheadActual  10: 8192 op, 49300.00 ns, 6.0181 ns/op
OverheadActual  11: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual  12: 8192 op, 57400.00 ns, 7.0068 ns/op
OverheadActual  13: 8192 op, 41600.00 ns, 5.0781 ns/op
OverheadActual  14: 8192 op, 33000.00 ns, 4.0283 ns/op
OverheadActual  15: 8192 op, 15400.00 ns, 1.8799 ns/op
OverheadActual  16: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual  17: 8192 op, 15300.00 ns, 1.8677 ns/op
OverheadActual  18: 8192 op, 15600.00 ns, 1.9043 ns/op
OverheadActual  19: 8192 op, 15700.00 ns, 1.9165 ns/op
OverheadActual  20: 8192 op, 15400.00 ns, 1.8799 ns/op

WorkloadWarmup   1: 8192 op, 879748700.00 ns, 107.3912 us/op
WorkloadWarmup   2: 8192 op, 929591500.00 ns, 113.4755 us/op
WorkloadWarmup   3: 8192 op, 909797800.00 ns, 111.0593 us/op
WorkloadWarmup   4: 8192 op, 935900900.00 ns, 114.2457 us/op
WorkloadWarmup   5: 8192 op, 886212100.00 ns, 108.1802 us/op
WorkloadWarmup   6: 8192 op, 890269500.00 ns, 108.6755 us/op

// BeforeActualRun
WorkloadActual   1: 8192 op, 913410800.00 ns, 111.5003 us/op
WorkloadActual   2: 8192 op, 871875000.00 ns, 106.4301 us/op
WorkloadActual   3: 8192 op, 905828600.00 ns, 110.5748 us/op
WorkloadActual   4: 8192 op, 867293500.00 ns, 105.8708 us/op
WorkloadActual   5: 8192 op, 874473900.00 ns, 106.7473 us/op

// AfterActualRun
WorkloadResult   1: 8192 op, 913395300.00 ns, 111.4984 us/op
WorkloadResult   2: 8192 op, 871859500.00 ns, 106.4282 us/op
WorkloadResult   3: 8192 op, 905813100.00 ns, 110.5729 us/op
WorkloadResult   4: 8192 op, 867278000.00 ns, 105.8689 us/op
WorkloadResult   5: 8192 op, 874458400.00 ns, 106.7454 us/op
GC:  0 0 0 4648 8192
Threading:  2 0 8192

// AfterAll
// Benchmark Process 26408 has exited with code 0

Mean = 108.2228 us, StdErr = 1.1661 us (1.08%); N = 5, StdDev = 2.6075 us
Min = 105.8689 us, Q1 = 106.1485 us, Median = 106.7454 us, Q3 = 111.0357 us, Max = 111.4984 us
IQR = 4.8871 us, LowerFence = 98.8178 us, UpperFence = 118.3664 us
ConfidenceInterval = [98.1821 us; 118.2635 us] (CI 99.9%), Margin = 10.0407 us (9.28% of Mean)
Skewness = 0.29, Kurtosis = 0.83, MValue = 2

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListStructContains: Job-RPPWZV(IterationCount=5)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d5f100d6-8642-45f2-a83d-87f61fa79825.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListStructContains" --job "IterationCount=5" --benchmarkId 1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\d5f100d6-8642-45f2-a83d-87f61fa79825\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-GOKUFH(IterationCount=5)

OverheadJitting  1: 1 op, 336400.00 ns, 336.4000 us/op
WorkloadJitting  1: 1 op, 1590200.00 ns, 1.5902 ms/op

OverheadJitting  2: 16 op, 284800.00 ns, 17.8000 us/op
WorkloadJitting  2: 16 op, 4218800.00 ns, 263.6750 us/op

WorkloadPilot    1: 16 op, 5768100.00 ns, 360.5063 us/op
WorkloadPilot    2: 32 op, 8246300.00 ns, 257.6969 us/op
WorkloadPilot    3: 64 op, 19022200.00 ns, 297.2219 us/op
WorkloadPilot    4: 128 op, 34190200.00 ns, 267.1109 us/op
WorkloadPilot    5: 256 op, 65494600.00 ns, 255.8383 us/op
WorkloadPilot    6: 512 op, 102811300.00 ns, 200.8033 us/op
WorkloadPilot    7: 1024 op, 110240900.00 ns, 107.6571 us/op
WorkloadPilot    8: 2048 op, 218134500.00 ns, 106.5110 us/op
WorkloadPilot    9: 4096 op, 520788600.00 ns, 127.1457 us/op

OverheadWarmup   1: 4096 op, 14000.00 ns, 3.4180 ns/op
OverheadWarmup   2: 4096 op, 8600.00 ns, 2.0996 ns/op
OverheadWarmup   3: 4096 op, 7800.00 ns, 1.9043 ns/op
OverheadWarmup   4: 4096 op, 8300.00 ns, 2.0264 ns/op
OverheadWarmup   5: 4096 op, 8100.00 ns, 1.9775 ns/op
OverheadWarmup   6: 4096 op, 32900.00 ns, 8.0322 ns/op
OverheadWarmup   7: 4096 op, 10500.00 ns, 2.5635 ns/op

OverheadActual   1: 4096 op, 8600.00 ns, 2.0996 ns/op
OverheadActual   2: 4096 op, 8200.00 ns, 2.0020 ns/op
OverheadActual   3: 4096 op, 10600.00 ns, 2.5879 ns/op
OverheadActual   4: 4096 op, 8100.00 ns, 1.9775 ns/op
OverheadActual   5: 4096 op, 26600.00 ns, 6.4941 ns/op
OverheadActual   6: 4096 op, 22400.00 ns, 5.4688 ns/op
OverheadActual   7: 4096 op, 11100.00 ns, 2.7100 ns/op
OverheadActual   8: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual   9: 4096 op, 8900.00 ns, 2.1729 ns/op
OverheadActual  10: 4096 op, 26000.00 ns, 6.3477 ns/op
OverheadActual  11: 4096 op, 8400.00 ns, 2.0508 ns/op
OverheadActual  12: 4096 op, 8300.00 ns, 2.0264 ns/op
OverheadActual  13: 4096 op, 30000.00 ns, 7.3242 ns/op
OverheadActual  14: 4096 op, 8200.00 ns, 2.0020 ns/op
OverheadActual  15: 4096 op, 9200.00 ns, 2.2461 ns/op
OverheadActual  16: 4096 op, 11200.00 ns, 2.7344 ns/op
OverheadActual  17: 4096 op, 33300.00 ns, 8.1299 ns/op
OverheadActual  18: 4096 op, 8500.00 ns, 2.0752 ns/op
OverheadActual  19: 4096 op, 13200.00 ns, 3.2227 ns/op
OverheadActual  20: 4096 op, 8400.00 ns, 2.0508 ns/op

WorkloadWarmup   1: 4096 op, 474643400.00 ns, 115.8797 us/op
WorkloadWarmup   2: 4096 op, 464707600.00 ns, 113.4540 us/op
WorkloadWarmup   3: 4096 op, 458019000.00 ns, 111.8210 us/op
WorkloadWarmup   4: 4096 op, 490728300.00 ns, 119.8067 us/op
WorkloadWarmup   5: 4096 op, 476345100.00 ns, 116.2952 us/op
WorkloadWarmup   6: 4096 op, 456877500.00 ns, 111.5424 us/op
WorkloadWarmup   7: 4096 op, 449071100.00 ns, 109.6365 us/op
WorkloadWarmup   8: 4096 op, 447437900.00 ns, 109.2378 us/op
WorkloadWarmup   9: 4096 op, 455544100.00 ns, 111.2168 us/op
WorkloadWarmup  10: 4096 op, 464987100.00 ns, 113.5222 us/op
WorkloadWarmup  11: 4096 op, 431871500.00 ns, 105.4374 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 422349200.00 ns, 103.1126 us/op
WorkloadActual   2: 4096 op, 446797400.00 ns, 109.0814 us/op
WorkloadActual   3: 4096 op, 451409400.00 ns, 110.2074 us/op
WorkloadActual   4: 4096 op, 473751700.00 ns, 115.6620 us/op
WorkloadActual   5: 4096 op, 432163800.00 ns, 105.5087 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 422340150.00 ns, 103.1104 us/op
WorkloadResult   2: 4096 op, 446788350.00 ns, 109.0792 us/op
WorkloadResult   3: 4096 op, 451400350.00 ns, 110.2052 us/op
WorkloadResult   4: 4096 op, 473742650.00 ns, 115.6598 us/op
WorkloadResult   5: 4096 op, 432154750.00 ns, 105.5065 us/op
GC:  0 0 0 0 4096
Threading:  2 0 4096

// AfterAll
// Benchmark Process 31460 has exited with code 0

Mean = 108.7122 us, StdErr = 2.1481 us (1.98%); N = 5, StdDev = 4.8034 us
