// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\88434789-24ab-4a7e-b9b1-138cc7d51ae7
// command took 2.96s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\88434789-24ab-4a7e-b9b1-138cc7d51ae7
// command took 3.8s and exited with 0
// ***** Done, took 00:00:06 (7 sec)   *****
// Found 4 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: DefaultJob
//   ListOfTuplesContainsBenchmark.ListStructContains: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsStruct: DefaultJob

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "88434789-24ab-4a7e-b9b1-138cc7d51ae7.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "Default" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\88434789-24ab-4a7e-b9b1-138cc7d51ae7\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 440700.00 ns, 440.7000 us/op
WorkloadJitting  1: 1 op, 70833900.00 ns, 70.8339 ms/op

WorkloadPilot    1: 2 op, 135996200.00 ns, 67.9981 ms/op
WorkloadPilot    2: 3 op, 205908300.00 ns, 68.6361 ms/op
WorkloadPilot    3: 4 op, 267241000.00 ns, 66.8102 ms/op
WorkloadPilot    4: 5 op, 329778000.00 ns, 65.9556 ms/op
WorkloadPilot    5: 6 op, 399605900.00 ns, 66.6010 ms/op
WorkloadPilot    6: 7 op, 496080000.00 ns, 70.8686 ms/op
WorkloadPilot    7: 8 op, 579517700.00 ns, 72.4397 ms/op

WorkloadWarmup   1: 8 op, 566693600.00 ns, 70.8367 ms/op
WorkloadWarmup   2: 8 op, 555592700.00 ns, 69.4491 ms/op
WorkloadWarmup   3: 8 op, 568704100.00 ns, 71.0880 ms/op
WorkloadWarmup   4: 8 op, 565549800.00 ns, 70.6937 ms/op
WorkloadWarmup   5: 8 op, 527154500.00 ns, 65.8943 ms/op
WorkloadWarmup   6: 8 op, 545180500.00 ns, 68.1476 ms/op
WorkloadWarmup   7: 8 op, 548316900.00 ns, 68.5396 ms/op
WorkloadWarmup   8: 8 op, 529357700.00 ns, 66.1697 ms/op

// BeforeActualRun
WorkloadActual   1: 8 op, 525291300.00 ns, 65.6614 ms/op
WorkloadActual   2: 8 op, 531630700.00 ns, 66.4538 ms/op
WorkloadActual   3: 8 op, 542442600.00 ns, 67.8053 ms/op
WorkloadActual   4: 8 op, 518818900.00 ns, 64.8524 ms/op
WorkloadActual   5: 8 op, 521777300.00 ns, 65.2222 ms/op
WorkloadActual   6: 8 op, 550324200.00 ns, 68.7905 ms/op
