// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\705a4d4c-0a3c-4428-addc-369502ceac49
// command took 3.94s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\705a4d4c-0a3c-4428-addc-369502ceac49
// command took 4.06s and exited with 0
// ***** Done, took 00:00:08 (8.22 sec)   *****
// Found 4 benchmarks:
//   ListOfTuplesContainsBenchmark.ListTupleContains: DefaultJob
//   ListOfTuplesContainsBenchmark.ListStructContains: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsStruct: DefaultJob

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListTupleContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "705a4d4c-0a3c-4428-addc-369502ceac49.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListTupleContains" --job "Default" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\705a4d4c-0a3c-4428-addc-369502ceac49\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 348600.00 ns, 348.6000 us/op
WorkloadJitting  1: 1 op, 80421800.00 ns, 80.4218 ms/op

WorkloadPilot    1: 2 op, 152141100.00 ns, 76.0705 ms/op
WorkloadPilot    2: 3 op, 212198800.00 ns, 70.7329 ms/op
WorkloadPilot    3: 4 op, 279417700.00 ns, 69.8544 ms/op
WorkloadPilot    4: 5 op, 347269100.00 ns, 69.4538 ms/op
WorkloadPilot    5: 6 op, 398304700.00 ns, 66.3841 ms/op
WorkloadPilot    6: 7 op, 475100700.00 ns, 67.8715 ms/op
WorkloadPilot    7: 8 op, 571155800.00 ns, 71.3945 ms/op

WorkloadWarmup   1: 8 op, 561028000.00 ns, 70.1285 ms/op
WorkloadWarmup   2: 8 op, 545821500.00 ns, 68.2277 ms/op
WorkloadWarmup   3: 8 op, 562649300.00 ns, 70.3312 ms/op
WorkloadWarmup   4: 8 op, 566653300.00 ns, 70.8317 ms/op
WorkloadWarmup   5: 8 op, 550710100.00 ns, 68.8388 ms/op
WorkloadWarmup   6: 8 op, 535849700.00 ns, 66.9812 ms/op
WorkloadWarmup   7: 8 op, 569949600.00 ns, 71.2437 ms/op
WorkloadWarmup   8: 8 op, 565239700.00 ns, 70.6550 ms/op

// BeforeActualRun
WorkloadActual   1: 8 op, 578574900.00 ns, 72.3219 ms/op
WorkloadActual   2: 8 op, 557536600.00 ns, 69.6921 ms/op
WorkloadActual   3: 8 op, 572615000.00 ns, 71.5769 ms/op
WorkloadActual   4: 8 op, 545560000.00 ns, 68.1950 ms/op
WorkloadActual   5: 8 op, 561036100.00 ns, 70.1295 ms/op
WorkloadActual   6: 8 op, 551532600.00 ns, 68.9416 ms/op
WorkloadActual   7: 8 op, 579441700.00 ns, 72.4302 ms/op
WorkloadActual   8: 8 op, 550711100.00 ns, 68.8389 ms/op
WorkloadActual   9: 8 op, 562243600.00 ns, 70.2805 ms/op
WorkloadActual  10: 8 op, 560027900.00 ns, 70.0035 ms/op
WorkloadActual  11: 8 op, 567886900.00 ns, 70.9859 ms/op
WorkloadActual  12: 8 op, 545510600.00 ns, 68.1888 ms/op
WorkloadActual  13: 8 op, 540974800.00 ns, 67.6218 ms/op
WorkloadActual  14: 8 op, 564251000.00 ns, 70.5314 ms/op
WorkloadActual  15: 8 op, 571196700.00 ns, 71.3996 ms/op
WorkloadActual  16: 8 op, 550322100.00 ns, 68.7903 ms/op
WorkloadActual  17: 8 op, 544898100.00 ns, 68.1123 ms/op
WorkloadActual  18: 8 op, 574151600.00 ns, 71.7690 ms/op
WorkloadActual  19: 8 op, 542957000.00 ns, 67.8696 ms/op
WorkloadActual  20: 8 op, 549680900.00 ns, 68.7101 ms/op

// AfterActualRun
WorkloadResult   1: 8 op, 578574900.00 ns, 72.3219 ms/op
WorkloadResult   2: 8 op, 557536600.00 ns, 69.6921 ms/op
WorkloadResult   3: 8 op, 572615000.00 ns, 71.5769 ms/op
WorkloadResult   4: 8 op, 545560000.00 ns, 68.1950 ms/op
WorkloadResult   5: 8 op, 561036100.00 ns, 70.1295 ms/op
WorkloadResult   6: 8 op, 551532600.00 ns, 68.9416 ms/op
WorkloadResult   7: 8 op, 579441700.00 ns, 72.4302 ms/op
WorkloadResult   8: 8 op, 550711100.00 ns, 68.8389 ms/op
WorkloadResult   9: 8 op, 562243600.00 ns, 70.2805 ms/op
WorkloadResult  10: 8 op, 560027900.00 ns, 70.0035 ms/op
WorkloadResult  11: 8 op, 567886900.00 ns, 70.9859 ms/op
WorkloadResult  12: 8 op, 545510600.00 ns, 68.1888 ms/op
WorkloadResult  13: 8 op, 540974800.00 ns, 67.6218 ms/op
WorkloadResult  14: 8 op, 564251000.00 ns, 70.5314 ms/op
WorkloadResult  15: 8 op, 571196700.00 ns, 71.3996 ms/op
WorkloadResult  16: 8 op, 550322100.00 ns, 68.7903 ms/op
WorkloadResult  17: 8 op, 544898100.00 ns, 68.1123 ms/op
WorkloadResult  18: 8 op, 574151600.00 ns, 71.7690 ms/op
WorkloadResult  19: 8 op, 542957000.00 ns, 67.8696 ms/op
WorkloadResult  20: 8 op, 549680900.00 ns, 68.7101 ms/op
GC:  0 0 0 0 8
Threading:  2 0 8

// AfterAll
// Benchmark Process 32364 has exited with code 0

Mean = 69.8194 ms, StdErr = 0.3462 ms (0.50%); N = 20, StdDev = 1.5484 ms
Min = 67.6218 ms, Q1 = 68.4526 ms, Median = 69.8478 ms, Q3 = 71.1927 ms, Max = 72.4302 ms
IQR = 2.7402 ms, LowerFence = 64.3423 ms, UpperFence = 75.3030 ms
ConfidenceInterval = [68.4748 ms; 71.1640 ms] (CI 99.9%), Margin = 1.3446 ms (1.93% of Mean)
Skewness = 0.22, Kurtosis = 1.59, MValue = 2.22

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListStructContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "705a4d4c-0a3c-4428-addc-369502ceac49.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListStructContains" --job "Default" --benchmarkId 1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\705a4d4c-0a3c-4428-addc-369502ceac49\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 364500.00 ns, 364.5000 us/op
WorkloadJitting  1: 1 op, 50693000.00 ns, 50.6930 ms/op

WorkloadPilot    1: 2 op, 91278900.00 ns, 45.6394 ms/op
WorkloadPilot    2: 3 op, 132623700.00 ns, 44.2079 ms/op
WorkloadPilot    3: 4 op, 181446000.00 ns, 45.3615 ms/op
WorkloadPilot    4: 5 op, 218478300.00 ns, 43.6957 ms/op
WorkloadPilot    5: 6 op, 278989800.00 ns, 46.4983 ms/op
WorkloadPilot    6: 7 op, 320880600.00 ns, 45.8401 ms/op
WorkloadPilot    7: 8 op, 339043400.00 ns, 42.3804 ms/op
WorkloadPilot    8: 9 op, 385855000.00 ns, 42.8728 ms/op
WorkloadPilot    9: 10 op, 455948100.00 ns, 45.5948 ms/op
WorkloadPilot   10: 11 op, 472508100.00 ns, 42.9553 ms/op
WorkloadPilot   11: 12 op, 563038300.00 ns, 46.9199 ms/op

WorkloadWarmup   1: 12 op, 534845000.00 ns, 44.5704 ms/op
WorkloadWarmup   2: 12 op, 538550300.00 ns, 44.8792 ms/op
WorkloadWarmup   3: 12 op, 512406600.00 ns, 42.7006 ms/op
WorkloadWarmup   4: 12 op, 551647000.00 ns, 45.9706 ms/op
WorkloadWarmup   5: 12 op, 527681200.00 ns, 43.9734 ms/op
WorkloadWarmup   6: 12 op, 551870600.00 ns, 45.9892 ms/op

// BeforeActualRun
WorkloadActual   1: 12 op, 524733400.00 ns, 43.7278 ms/op
WorkloadActual   2: 12 op, 564580800.00 ns, 47.0484 ms/op
WorkloadActual   3: 12 op, 519727300.00 ns, 43.3106 ms/op
WorkloadActual   4: 12 op, 524177400.00 ns, 43.6814 ms/op
WorkloadActual   5: 12 op, 503666100.00 ns, 41.9722 ms/op
WorkloadActual   6: 12 op, 562034400.00 ns, 46.8362 ms/op
WorkloadActual   7: 12 op, 513284700.00 ns, 42.7737 ms/op
WorkloadActual   8: 12 op, 530144600.00 ns, 44.1787 ms/op
WorkloadActual   9: 12 op, 521904100.00 ns, 43.4920 ms/op
WorkloadActual  10: 12 op, 557764100.00 ns, 46.4803 ms/op
WorkloadActual  11: 12 op, 538436000.00 ns, 44.8697 ms/op
WorkloadActual  12: 12 op, 509150900.00 ns, 42.4292 ms/op
WorkloadActual  13: 12 op, 507754000.00 ns, 42.3128 ms/op
WorkloadActual  14: 12 op, 558415000.00 ns, 46.5346 ms/op
WorkloadActual  15: 12 op, 517773600.00 ns, 43.1478 ms/op
WorkloadActual  16: 12 op, 524089800.00 ns, 43.6742 ms/op
WorkloadActual  17: 12 op, 514931300.00 ns, 42.9109 ms/op
WorkloadActual  18: 12 op, 566927200.00 ns, 47.2439 ms/op
WorkloadActual  19: 12 op, 555086800.00 ns, 46.2572 ms/op
WorkloadActual  20: 12 op, 539937900.00 ns, 44.9948 ms/op
WorkloadActual  21: 12 op, 525615200.00 ns, 43.8013 ms/op
WorkloadActual  22: 12 op, 562840400.00 ns, 46.9034 ms/op
WorkloadActual  23: 12 op, 517561900.00 ns, 43.1302 ms/op
WorkloadActual  24: 12 op, 537264900.00 ns, 44.7721 ms/op
WorkloadActual  25: 12 op, 531438000.00 ns, 44.2865 ms/op
WorkloadActual  26: 12 op, 545711700.00 ns, 45.4760 ms/op
WorkloadActual  27: 12 op, 511676000.00 ns, 42.6397 ms/op
WorkloadActual  28: 12 op, 520135100.00 ns, 43.3446 ms/op
WorkloadActual  29: 12 op, 558242800.00 ns, 46.5202 ms/op
WorkloadActual  30: 12 op, 556997600.00 ns, 46.4165 ms/op
WorkloadActual  31: 12 op, 528192000.00 ns, 44.0160 ms/op
WorkloadActual  32: 12 op, 542705200.00 ns, 45.2254 ms/op
WorkloadActual  33: 12 op, 536436400.00 ns, 44.7030 ms/op
WorkloadActual  34: 12 op, 537445800.00 ns, 44.7871 ms/op
WorkloadActual  35: 12 op, 505328400.00 ns, 42.1107 ms/op
WorkloadActual  36: 12 op, 528948300.00 ns, 44.0790 ms/op
WorkloadActual  37: 12 op, 537696200.00 ns, 44.8080 ms/op
WorkloadActual  38: 12 op, 604337000.00 ns, 50.3614 ms/op
WorkloadActual  39: 12 op, 527484900.00 ns, 43.9571 ms/op
WorkloadActual  40: 12 op, 539020900.00 ns, 44.9184 ms/op

// AfterActualRun
WorkloadResult   1: 12 op, 524733400.00 ns, 43.7278 ms/op
WorkloadResult   2: 12 op, 564580800.00 ns, 47.0484 ms/op
WorkloadResult   3: 12 op, 519727300.00 ns, 43.3106 ms/op
WorkloadResult   4: 12 op, 524177400.00 ns, 43.6814 ms/op
WorkloadResult   5: 12 op, 503666100.00 ns, 41.9722 ms/op
WorkloadResult   6: 12 op, 562034400.00 ns, 46.8362 ms/op
WorkloadResult   7: 12 op, 513284700.00 ns, 42.7737 ms/op
WorkloadResult   8: 12 op, 530144600.00 ns, 44.1787 ms/op
WorkloadResult   9: 12 op, 521904100.00 ns, 43.4920 ms/op
WorkloadResult  10: 12 op, 557764100.00 ns, 46.4803 ms/op
WorkloadResult  11: 12 op, 538436000.00 ns, 44.8697 ms/op
WorkloadResult  12: 12 op, 509150900.00 ns, 42.4292 ms/op
WorkloadResult  13: 12 op, 507754000.00 ns, 42.3128 ms/op
WorkloadResult  14: 12 op, 558415000.00 ns, 46.5346 ms/op
WorkloadResult  15: 12 op, 517773600.00 ns, 43.1478 ms/op
WorkloadResult  16: 12 op, 524089800.00 ns, 43.6742 ms/op
WorkloadResult  17: 12 op, 514931300.00 ns, 42.9109 ms/op
WorkloadResult  18: 12 op, 566927200.00 ns, 47.2439 ms/op
WorkloadResult  19: 12 op, 555086800.00 ns, 46.2572 ms/op
WorkloadResult  20: 12 op, 539937900.00 ns, 44.9948 ms/op
WorkloadResult  21: 12 op, 525615200.00 ns, 43.8013 ms/op
