// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\56f2a695-9370-4076-a398-7852e067d743
// command took 2.04s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\56f2a695-9370-4076-a398-7852e067d743
// command took 2.87s and exited with 0
// ***** Done, took 00:00:05 (5.04 sec)   *****
// Found 4 benchmarks:
//   ListOfTuplesContainsBenchmark.ListContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.ListContainsStruct: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsStruct: DefaultJob

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListContainsTuple: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "56f2a695-9370-4076-a398-7852e067d743.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListContainsTuple" --job "Default" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\56f2a695-9370-4076-a398-7852e067d743\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 297800.00 ns, 297.8000 us/op
WorkloadJitting  1: 1 op, 65825300.00 ns, 65.8253 ms/op

WorkloadPilot    1: 2 op, 129412300.00 ns, 64.7062 ms/op
WorkloadPilot    2: 3 op, 191388400.00 ns, 63.7961 ms/op
WorkloadPilot    3: 4 op, 274586300.00 ns, 68.6466 ms/op
WorkloadPilot    4: 5 op, 301765600.00 ns, 60.3531 ms/op
WorkloadPilot    5: 6 op, 360148100.00 ns, 60.0247 ms/op
WorkloadPilot    6: 7 op, 436907900.00 ns, 62.4154 ms/op
WorkloadPilot    7: 8 op, 495380100.00 ns, 61.9225 ms/op
WorkloadPilot    8: 9 op, 585764200.00 ns, 65.0849 ms/op

WorkloadWarmup   1: 9 op, 559206400.00 ns, 62.1340 ms/op
WorkloadWarmup   2: 9 op, 557640100.00 ns, 61.9600 ms/op
WorkloadWarmup   3: 9 op, 566419800.00 ns, 62.9355 ms/op
WorkloadWarmup   4: 9 op, 583912500.00 ns, 64.8792 ms/op
WorkloadWarmup   5: 9 op, 556954200.00 ns, 61.8838 ms/op
WorkloadWarmup   6: 9 op, 560495500.00 ns, 62.2773 ms/op
WorkloadWarmup   7: 9 op, 558155400.00 ns, 62.0173 ms/op

// BeforeActualRun
WorkloadActual   1: 9 op, 589019800.00 ns, 65.4466 ms/op
WorkloadActual   2: 9 op, 558065400.00 ns, 62.0073 ms/op
WorkloadActual   3: 9 op, 557835100.00 ns, 61.9817 ms/op
WorkloadActual   4: 9 op, 576440300.00 ns, 64.0489 ms/op
WorkloadActual   5: 9 op, 567671000.00 ns, 63.0746 ms/op
