// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\dac63f4e-30de-442b-b9ba-42e011d3939a
// command took 1.94s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\dac63f4e-30de-442b-b9ba-42e011d3939a
// command took 2.77s and exited with 0
// ***** Done, took 00:00:04 (4.84 sec)   *****
// Found 4 benchmarks:
//   ListOfTuplesContainsBenchmark.ListContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.ListContainsStruct: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsStruct: DefaultJob

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListContainsTuple: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "dac63f4e-30de-442b-b9ba-42e011d3939a.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListContainsTuple" --job "Default" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\dac63f4e-30de-442b-b9ba-42e011d3939a\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 229600.00 ns, 229.6000 us/op
WorkloadJitting  1: 1 op, 65111300.00 ns, 65.1113 ms/op

WorkloadPilot    1: 2 op, 121644200.00 ns, 60.8221 ms/op
WorkloadPilot    2: 3 op, 186483600.00 ns, 62.1612 ms/op
WorkloadPilot    3: 4 op, 239740400.00 ns, 59.9351 ms/op
WorkloadPilot    4: 5 op, 316055800.00 ns, 63.2112 ms/op
WorkloadPilot    5: 6 op, 375499400.00 ns, 62.5832 ms/op
WorkloadPilot    6: 7 op, 449197500.00 ns, 64.1711 ms/op
WorkloadPilot    7: 8 op, 497359000.00 ns, 62.1699 ms/op
WorkloadPilot    8: 9 op, 538273700.00 ns, 59.8082 ms/op

WorkloadWarmup   1: 9 op, 538969600.00 ns, 59.8855 ms/op
WorkloadWarmup   2: 9 op, 567657700.00 ns, 63.0731 ms/op
WorkloadWarmup   3: 9 op, 563665200.00 ns, 62.6295 ms/op
WorkloadWarmup   4: 9 op, 560103500.00 ns, 62.2337 ms/op
WorkloadWarmup   5: 9 op, 545517600.00 ns, 60.6131 ms/op
WorkloadWarmup   6: 9 op, 583500400.00 ns, 64.8334 ms/op
WorkloadWarmup   7: 9 op, 552565500.00 ns, 61.3962 ms/op

// BeforeActualRun
WorkloadActual   1: 9 op, 538223800.00 ns, 59.8026 ms/op
WorkloadActual   2: 9 op, 538012900.00 ns, 59.7792 ms/op
WorkloadActual   3: 9 op, 573308900.00 ns, 63.7010 ms/op
WorkloadActual   4: 9 op, 537800600.00 ns, 59.7556 ms/op
WorkloadActual   5: 9 op, 538944000.00 ns, 59.8827 ms/op
WorkloadActual   6: 9 op, 538626100.00 ns, 59.8473 ms/op
