// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\676aa785-8dce-48b2-a27d-90c773ea01ed
// command took 3.25s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\676aa785-8dce-48b2-a27d-90c773ea01ed
// command took 3.93s and exited with 0
// ***** Done, took 00:00:07 (7.42 sec)   *****
// Found 4 benchmarks:
//   ListOfTuplesContainsBenchmark.ListContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.ListContainsStruct: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsTuple: DefaultJob
//   ListOfTuplesContainsBenchmark.MapContainsStruct: DefaultJob

// **************************
// Benchmark: ListOfTuplesContainsBenchmark.ListContainsTuple: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "676aa785-8dce-48b2-a27d-90c773ea01ed.dll" --benchmarkName "ValueTuplePerf.ListOfTuplesContainsBenchmark.ListContainsTuple" --job "Default" --benchmarkId 0 in C:\Users\keith\Source\Repos\ValueTuplePerf\bin\Release\netcoreapp3.1\676aa785-8dce-48b2-a27d-90c773ea01ed\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 346000.00 ns, 346.0000 us/op
WorkloadJitting  1: 1 op, 78826900.00 ns, 78.8269 ms/op

WorkloadPilot    1: 2 op, 132589600.00 ns, 66.2948 ms/op
WorkloadPilot    2: 3 op, 218538000.00 ns, 72.8460 ms/op
WorkloadPilot    3: 4 op, 299793800.00 ns, 74.9484 ms/op
WorkloadPilot    4: 5 op, 334682700.00 ns, 66.9365 ms/op
WorkloadPilot    5: 6 op, 414902500.00 ns, 69.1504 ms/op
WorkloadPilot    6: 7 op, 478065100.00 ns, 68.2950 ms/op
WorkloadPilot    7: 8 op, 560820800.00 ns, 70.1026 ms/op

WorkloadWarmup   1: 8 op, 572969600.00 ns, 71.6212 ms/op
WorkloadWarmup   2: 8 op, 544030300.00 ns, 68.0038 ms/op
WorkloadWarmup   3: 8 op, 530101200.00 ns, 66.2627 ms/op
WorkloadWarmup   4: 8 op, 571753500.00 ns, 71.4692 ms/op
WorkloadWarmup   5: 8 op, 547266300.00 ns, 68.4083 ms/op
WorkloadWarmup   6: 8 op, 525346800.00 ns, 65.6684 ms/op
WorkloadWarmup   7: 8 op, 532503700.00 ns, 66.5630 ms/op
WorkloadWarmup   8: 8 op, 567525700.00 ns, 70.9407 ms/op
WorkloadWarmup   9: 8 op, 541289300.00 ns, 67.6612 ms/op

// BeforeActualRun
WorkloadActual   1: 8 op, 539582400.00 ns, 67.4478 ms/op
WorkloadActual   2: 8 op, 538738000.00 ns, 67.3423 ms/op
WorkloadActual   3: 8 op, 568340900.00 ns, 71.0426 ms/op
WorkloadActual   4: 8 op, 536581500.00 ns, 67.0727 ms/op
WorkloadActual   5: 8 op, 541325200.00 ns, 67.6656 ms/op
